 0.00000000  0.00000000  0.09586677  0.10326890  0.00685867  0.00061366  0.00036540  0.08514824  0.65927766 
 0.01000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.02000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.03000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.04000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.05000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.06000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.07000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.08000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.09000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.10000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.11000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.12000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.13000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.14000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.15000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.16000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.17000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.18000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.19000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.20000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.21000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.22000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
 0.23000000  0.00000000  0.09546986  0.10278619  0.00680594  0.00060818  0.00036234  0.08430078  0.65274844 
